一一 逐一
从前 夙昔 畴前 早年
从古到今 古往今来
从头到尾 从头至尾
从容 自在
从容自若 从容自在
从属 隶属
从新 重新
从来 历来
从速 赶快
仓促 急促 急急 仓皇
仓卒 匆急
仓惶 仓遑
仓猝 匆促
仕进 做官
他乡 异乡 异域
他心 贰心
他日 改日 未来畴昔 异日
付与 赋予 授予
付之一笑 一笑置之
付出 支付 支出
付梓 排印
仙丹 灵药
仙游 升天
仙颜 美貌
代价 价格 价值
代劳 代庖
代庖 代办
代替 取代
代理 署理 代办署理
令人 使人
令出必行 令出如山 驷不及舌
令坦 令婿 贵婿
令媛 千金
令阃 令正
以为 认为 觉得
以内 之内
以前 之前
以后 今后
以外 之外
以是 所以
以牙还牙 以眼还眼
以管窥天 坐井观天
以至 以致
以致 乃至
以身试法 知法犯法
以避免 以免
仰人鼻息 举夺由人
仰头 抬头
仰望 瞻仰
仰给 仰食
仰面 抬头
仲春 二月
仲父 季父
仳离 离婚
价值千金 价值连城 无价之宝
价格 价钱
价钱 代价
任凭 听凭
任务 义务 使命
任命 录用
任意 随便 肆意 随意率性
仿佛 恍如
仿单 说明书
仿照 模仿
仿造 仿制
企图 诡计 贪图
企求 祈求
伉俪 夫妻
伊于胡底 如何了局
伎俩 手法
伏侍 服事
伏枥守株 乐道安贫
伏枥老骥 归隐志士
伏法 受刑 伏诛
伏祈 伏乞
伏罪 服罪
伏羲 宓羲
伏输 服输
伐木 砍木
伐鼓 击鼓
休养 疗养
休咎 福祸 吉凶
休息 歇息
休憩 憩息
休戚与共 同甘共苦
休戚相关 风雨同舟
众口一词 如出一口
众口称善 口碑载道
众口纷纭 众说纷纭
众多 浩瀚
众寡不敌 众寡悬殊 寡不敌众
众擎易举 众志成城
优劣 好坏
优异 优良
优柔寡断 犹豫不决
优秀 优异
优美 美好 美丽
优胜 优越
优良 优秀 良好
优质 优良
伙计 伴计
会合 集中 齐集 会集
会商 谈判
会堂 礼堂
会心 会意
会晤 接见会面
会聚 集聚
会萃 聚集
会见 会面
会谈 漫谈
会面 会晤
会餐 聚餐
传扬 宣扬
传授 教授
传播 流传 传布
传染 沾染
传染病 流行症
传记 列传
传达 转达
传闻 传说风闻 风闻
伤天害理 丧尽天良
伤害 危险
伤心 悲伤
伤时感事 忧国忧民
伧夫俗人 凡夫俗子
伪造 捏造
伯仲 昆季 手足
估计 估量
估计打算 盘算推算
伴同 伴随
伴有 伴随
伴随 陪伴 随同
伶仃 孤立
伶俐 智慧
伶牙利齿 伶牙俐齿
伸展 舒展
伸开 张开
伸张 蔓延
伸雪 申雪
伺候 服侍
伺隙 俟机
似义词 词目
似乎 仿佛
似水流年 光阴似箭
佃户 田户 耕户
但愿 希望
但是 可是 然则
但若 但如果
低声下气 低三下四
低声密语 交头接耳
低头 垂头
低徊 低回
低微 微贱
低沉 低落 消沉
低落 降低
低贱 卑贱
低首下心 低头屈膝
住宅 室第 室庐
住所 居处
住持僧人 方丈和尚
住民 居民
体会 体味
体例 编制
体制 体系体例
体格 体魄
体系 系统
体育场 运动场
体裁 文体
体贴 体谅 关心
何为 作甚
何况 况且
何堪 那堪
何尝 未尝
何干 何关
何必 何须
何故 何以
何时 什么时候
何苦 何必
余晖 余辉
佛寺 梵刹
佛教 释教
佛门 空门
作威作福 横行霸道
作弄 做弄
作弊 做弊
作怪 捣蛋
作恶多端 无恶不作
作歹 作恶
作用 感化
作祟 作怪
作秀 做秀
作美 做美
作育 造就
作陪 奉陪
作风 风格
佣钿 回佣
佩带 佩戴
佩服 钦佩 信服 服气
佳偶 良伴
佳偶天成 嘉偶天成
佳宾 嘉宾
佳构 杰作 精品 宏构
佳誉 美誉
佳话 美谈
佻薄 浮滑
使劲 用力
侈糜 侈靡
例外 破例
侍从 随从
侍候 伺候
供不应求 求过于供
供应 供给
供词 口供
依从 允从
依恋 迷恋
依据 根据
依旧 照旧
依次 顺次
依照 遵照
依稀 模糊
依赖 依靠
依附 倚赖 凭借
依靠 依托
侦察 伺探 窥伺
侦探 侦察
侦查 侦察
侧丽 侧艳
侧重 偏重
侮辱 欺侮
侵占 侵犯
侵吞 并吞
侵害 损害
侵犯 加害 侵略
便函 私函
便利 便当
便可 即可
便宜 廉价
便是 就是 即是
便服 燕服
便条 条子
促成 促进
促进 增进
俊俏 姣美
俊秀 英俊
俊逸 飘逸
俏丽 美丽
俗不可耐 鄙俗不堪
俗气 庸俗
俗话说 俗语说
保举 推荐 举荐
保养 调养
保卫 警备 捍卫 守护 守卫
保存 留存 保留
保守 守旧
保护 庇护 珍爱 护卫 回护
保持 连结
保母 保姆
保藏 收藏
保重 珍重
保镖 保镳
保镳 警卫
信仰 崇奉
信任 信赖
信口开合 信口开河
信口雌黄 胡说八道
信号 旌旗灯号
信奉 信仰
信心 决心信念 决定信念
信念 信心
信托 信任
信用 信誉
信誉 诺言
信赖 相信
俭朴 简朴
修业 求学
修养 教养
修好 修睦
修建 建筑
修改 点窜
修正 批改
修筑 构筑
修葺 修缮
修长 细长
修饰 润色
俯仰由人 仰人鼻息 寄人篱下
俯拾地芥 如拾草芥 俯拾即是
俯首帖耳 俯首听命
俯首贴耳 唯命是从
俶傥 倜傥
倒台 垮台
倒塌 倾圮 坍毁
倒履相迎 扫径以待
倒持泰阿 授人以柄 受人以柄
倒映 反照
倒是 却是
倒楣 倒霉
倒置 颠倒
倒背如流 滚瓜烂熟
倒腾 捣腾
倒霉 不利
倔强 强硬
倔犟 倔强
倘佯 徘徊
倘使 假如 假使 假若
倘若 借使倘使 倘使
借主 债主
借势 借重
借单 借字 借条 借约
借口 捏词 托言
借据 借券 欠据
借故 托故
借款 乞贷 告贷
借道 借路
倡寮 妓院
倡导 提倡
倦怠 疲倦
倾听 聆听
倾圯 崩裂
倾尽国库 悉索敝赋
倾慕 羡慕 醉心 倾心
倾泻 倾注
倾盖论交 倾盖之交 倾盖定交 车笠之盟
倾耳细听 洗耳恭听
倾诉 倾吐
倾销 推销
偃蹇困穷 命运坎坷
假仁假义 假装好人
假使 借使
假公济私 营私舞弊 损人利己
假冒 冒充
假如 假设
假想 设想
假意周旋 虚与委蛇
假日 沐日
假票 伪钞
假称 托辞
假装 伪装
假设 假定
假话 谎话
假货 赝品
假贷 借贷
假造 虚拟 虚构 捏造
偏偏 恰恰
偏僻 荒僻罕见 荒僻
偏向 倾向
偏差 误差
偏幸 偏爱
偏心 偏幸 偏疼
偏爱 偏心
偏袒 左袒
偏见 私见
偏言 曲说
偏远 偏僻
偏重 着重
偕行 同行
做事 干事
做声 作声
做生意 经商
停业 休业 破产 收歇 歇业
停当 伏贴
停息 停歇 暂停
停战 寝兵 休战
停止 终了 截止 截至 终止 住手 遏制 休止 中断
停泊 停靠
停滞 阻滞 障碍 窒碍
停滞不前 裹足不前
停留 逗留
停顿 平息 停留 搁浅
健壮 硬朗
健忘 忘记
偶合 巧合
偶尔 偶然
偶然 有时 无意 无意偶尔
偷偷的 悄悄的
偷取 盗取
偷换 掉包
偷梁换柱 移花接木
偷盗 偷窃
偷窃 盗窃
偷窥 窃看 窃视
偷袭 狙击
偿还 了偿
傍友 清客
傍晚 薄暮
傍门 歪路
储备 储蓄 贮备
储存 贮存
储藏 蕴藏
催促 敦促
催讨 追讨
傲卒多败 骄者必败 骄兵必败
傲岸 立崖岸
傲慢 狂妄
傲睨 渺视
傲睨一世 昂首望天
傲睨万物 傲睨一世 傲世轻物
傲雪欺霜 坚贞不屈
像貌 相貌
僵直 僵硬
僻典 僻事
僻巷 陋巷 穷巷
僻静 荒僻冷僻
儿歌 童谣
允许 许可 答应
允诺 承诺
元朝 元代
元煤 原煤
兄弟相斗 豆箕相煎
兄弟阋墙 骨肉相残
充公 没收
充军 放逐
充分 充实 充裕
充当 充任
充数 凑数
充斥 充溢
充沛 充分
充溢 充满
充满 布满
充耳不闻 不闻不问
充裕 丰裕
充足 充沛 足够
充饥 果腹
先人 祖先
先兆 前兆
先后 前后
先容 介绍
先生 师长教师
先辈 先进
先进 进步前辈
光临 惠临
光亮 亮光
光复 规复
光天化日 青天白日
光彩 色泽 荣耀 光华
光怪陆离 千奇百怪
光明 光亮
光明正大 名正言顺
光明磊落 正大光明
光显 鲜明
光溜溜 光秃秃
光滑 滑腻
光滑油滑 圆滑
光芒 毫光 光线 光泽
光荣 名誉 庆幸
光说不做 言而不行
光说不练 言而不行
光辉 辉煌
光采 光彩
光阴 年华 岁月 工夫 年光
光顾 惠顾 帮衬 赐顾
光鲜 鲜明
克制 制止 抑制 胁制 压迫 压抑 禁止
克复 收复
克己 低廉甜头
克意 锐意
克敌制胜 旗开得胜
克日 近日 今天不日 刻期
克服 战胜
克期 刻期
克绍箕裘 继志述事 成家立业 安家立业
免了吧 算了吧
免却 省掉 省却
免得 省得
免罪 赦罪
免职 褫职 革职
免除 免去
兔脱 逃窜
党羽 翅膀
党魁 党首
兜售 兜销
入伍 参军
入口 进口
入国问俗 入境问禁
入坐 入座
入夜 天黑
入木三分 力透纸背
入眠 入睡
入耳 中听
入迷 出神
全世界 全球
全体 全部
全军 三军
全军尽没 全军覆没
全力以赴 尽心尽力
全心全意 一心一意 诚心诚意 专心致志 真心实意 鞠躬尽瘁
全无分别 一丘之貉
全无所闻 一无所知
全神贯注 聚精会神
全能 万能
全部 全数 所有 扫数 悉数
全面 周全
八字帖 发草帖
八怪七喇 稀奇古怪
八方受敌 四面楚歌
八百壮士 四行孤军
八股 陈腔滥调
八门五花 五花八门
八面受敌 四面楚歌
八面威风 气势汹汹
八面玲珑 左右逢源
八面见光 面面俱圆 面面俱到 八面玲珑
公事 公务
公价 官价
公判 公审
公告 通知布告
公子 令郎
公家 公众
公差 公役
公布 发布
公平 平正 公正 公允
公开 公然
公开场合 公共场所
公愤 众怒
公文 公函
公斤 千克
公断 公评
公正 公道
公然 果然
公牍 公文
公理 正义
公证人 评判人
公道 合理
公里 千米
六神无主 魂飞天外 丧魂失魄
兰交 至好
兰摧玉折 哲人其萎
兰梦 梦熊
兰艾俱焚 兰艾同焚 兰艾同烬
共享 同享
共同 配合
共同努力 通力合作
共计 总计
共赢 双赢
共鸣 共识
关切 关心
关怀 关切 眷注
关照 看护 通知
关联 联系关系
关键 要害 枢纽 关头 环节
关隘 关口
兴办 创办
兴废 荣枯
兴建 兴修
兴旺 畅旺
兴盛 昌隆 隆盛
兴致 兴趣
兴致索然 兴味索然
兴趣 爱好 乐趣
兴隆 兴盛
兴高采烈 兴致勃勃 喜上眉梢
兵凶战危 佳兵不祥
兵出无名 师出无名
兵力 军力
兵变 叛乱
兵器 火器 刀兵
兵士 战士
兵多将广 军多将广
兵工 军工
兵戈 干戈
兵法 兵书
兵种 军种
兵舰 军舰
兵营 军营
兵马 戎马
其中 个中
其实是 实际上是
具名 签字
具备 具有
典丽矞皇 典雅堂皇
典押铺 解当铺
典礼 仪式
典范 范例 典型
